topic0,preis,dollar,ol,je,olpreis,opec,gold,lit,shell,nachfrag,barrel,weltweit,rohstoff,tonn,bp,benzin,gestieg,produktion,tankstell,london,pro,steigend,steig,rohol,erdol,raffineri,expert,erreicht,knapp,pipelin,niedrig,yukos,hoch,welt,cent,gas,benzinpreis,durft,forder,erhoh,reserv,kostet,angebot,metall,total,heizol,energi,millionen_tonnen,zuletzt,taglich,aluminium,diesel,leicht,liefer,olkonzern,elf,kupf,angesicht,produzent,saudi,olkonz,anstieg,verbrauch,roholpreis,erdgas,gefall,dubai,gering,vergangenen_woche,bestand,fass,arabi,brent,vorrat,durchschnitt,erhoht,goldpreis,druck,millionen_barrel,erwart,kraftstoff,million,edelmetall,zud,exxon,sogar,bedarf,niveau,kraftig,kaffe,aral,lieg,trotz,iea,jung,liegt,sort,notier,steigt,abhang
topic87,dm,mill,mrd,eur,je,erhoht,sfr,gegenub,ag,divid,stieg,ergebnis,knapp,dusseldorf,gest,erreicht,verbessert,akti,umsatz,vorjahr,bzw,aufgrund,leicht,frankfurt,betrug,wobei,bereich,anteil,grupp,unverandert,geschaft,volum,erzielt,gestieg,betrag,sa,ertrag,steig,nachd,zeigt,erhoh,kapital,plus,stamm,beziffert,kraftig,verlust,rd,jahresuberschuss,ff,pro,geschaftsjahr,ca,rechnet,va,positiv,laufenden_jahr,basis,blieb,betragt,kapitalerhoh,kass,cash,sank,entfiel,gewinn,netto,ausgewies,vwd,kron,ausschutt,steiger,lieg,inland,entwickl,belief,trotz,wesent,amtlich,nennwert,betriebsergebnis,einschliess,hannov,nahm,jeweil,wert,voll,insbesond,reduziert,entfall,aktionar,verringert,weist,dm_umsatz,begrundet,herlitz,investition,niedrig,ledig,flow
 ,0.201,0.131,0.123,0.011,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic88,japan,china,chines,peking,iwf,tokio,asi,hongkong,chinas,asiat,wto,taiwan,singapur,yen,thailand,indonesi,ausland,handel,schanghai,region,genf,vietnam,pazif,malaysia,fuhrend,sudkorea,export,sudostasi,internationalen_währungsfonds,bangkok,asean,gatt,washington,zoll,welthandelsorganisation,ldp,weltweit,tibet,korea,indi,global,westlich,amerikan,provinz,offiziell,shanghai,volksrepubl,milliarden_dollar,mitglied,milliarden_yen,finanzkris,yuan,import,schwellenland,kris,lee,ministerprasident,staatlich,chen,gegenub,fernost,sudostasiat,korean,bill,weltbank,li,jiang_zemin,finanzminist,fuhrung,welthandel,jakarta,philippin,weltwirtschaft,nippon,asienkris,of,offnung,sieb,entwicklungsland,hashimoto,kommunist,apec,wahrungsfond,li_peng,abkomm,kuala_lumpur,billionen_yen,kanada,industrieland,dalai_lama,direktor,kredit,koizumi,wang,bezieh,camdessus,indones,taiwanes,volksrepublik_china,strafzoll
 ,0.077,0.064,0.03,0.026,0.02,0.017,0.017,0.015,0.013,0.011,0.011,0.01,0.009,0.008,0.007,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic89,dollar,euro,ezb,wahrung,notenbank,bundesbank,frankfurt,zins,zentralbank,yen,geldpolit,gegenub,wahrungsunion,kur,inflation,fed,zinssenk,schwach,finanzmarkt,bank,leitzins,europäische_zentralbank,kostet,zinserhoh,rat,devis,niedrig,europäischen_zentralbank,stabil,devisenmarkt,fest,finanzminist,erwart,kurzfrist,schweizer_franken,amerikan,zon,jung,notenbankchef,inflationsrat,abwert,druck,greenspan,durft,leicht,konjunktur,okonom,unverandert,mark,wechselkurs,raum,intervention,lira,zuletzt,ews,stabilitat,gemeinschaftswahr,leitzin,handl,wert,satz,wechselkur,gold,geldmeng,aufwert,gehandelt,volkswirt,kaum,wahrungshut,erhoh,alan_greenspan,niveau,euroland,ewwu,spekulation,duisenberg,main,expert,preisstabilitat,geldmarkt,euros,rechn,unsich,britische_pfund,pfund,gest,chefvolkswirt,bundesbankprasident,tagesgeld,anhalt,trichet,zinsschritt,zeigt,wachstum,kurs,festgesetzt,eurozon,prozentpunkt,sitzung,erreicht
 ,0.048,0.041,0.021,0.02,0.016,0.015,0.013,0.011,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic90,projekt,investition,ausland,entwickl,firm,bereich,region,partn,kooperation,mittelstand,zusammenarbeit,industri,gemeinsam,betrieb,dienstleist,engagement,investor,beteil,ausbau,investi,aufbau,standort,forschung,gesellschaft,infrastruktur,regional,investiert,chanc,bedeut,verstarkt,technologi,langfrist,grundung,ziel,how,innovation,besteh,know,ventur,beteiligt,geschaff,zukunft,kapital,schaff,tatig,arbeitsplatz,wettbewerbsfah,aktivitat,finanzier,entwickelt,gegrundet,nutz,rahmenbeding,entwickeln,gebiet,mittel,insbesond,initiativ,neb,schwerpunkt,privat,unterstutz,entsteh,industriell,besond,rahm,vorhab,aktiv,sektor,innovativ,strateg,verfug,technisch,interess,beispiel,attraktiv,programm,zud,deutsche_unternehmen,erfolgreich,bau,technolog,modern,eng,partnerschaft,gerad,lokal,zunehm,erschliess,verbess,zusamm,wettbewerb,plan,voraussetz,deutschen_wirtschaft,biet,hinaus,notwend,handel,wachsend
 ,0.023,0.022,0.017,0.016,0.016,0.013,0.012,0.011,0.011,0.01,0.01,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic91,kritik,kritisiert,scharf,ausser,wies,warnt,bezeichnet,warf,vorwurf,streit,heftig,sprach,betont,verteidigt,nannt,reagiert,erneut,offent,forder,aussert,falsch,erklar,red,zugleich,woll,verhalt,vorgeh,verantwort,wort,diskussion,vollig,reaktion,haltung,umstritt,davor,vorgeworf,gegenub,brief,druck,kritisch,gewarnt,verlangt,massiv,kundigt,bekraftigt,meint,ubt,zuruckgewies,fehl,ausdruck,ausgelost,gesagt,geaussert,gemacht,wiederholt,zusammenhang,unterdess,vorstoss,hart,versuch,zuvor,eindruck,scharfe_kritik,gefordert,verstandnis,lehnt,aufgefordert,aussag,raumt,interview,verwi,unterstutz,auseinandersetz,durf,angriff,wirft,indirekt,ansicht,meinung,gestoss,hielt,kritisi,entschuld,jung,widerstand,konsequenz,ablehn,mangelnd,widerspruch,klar,absag,absicht,gefuhrt,ankund,beklagt,bedau,nehm,weist,gefahrd,angesicht
 ,0.047,0.033,0.017,0.016,0.015,0.014,0.012,0.012,0.012,0.012,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic92,medikament,basf,chemi,pharma,schering,medizin,merck,weltweit,mittel,hoech,produkt,aventis,entwickl,herstell,degussa,krankheit,forschung,patent,biotech,roch,ludwigshaf,frankfurt,konz,arzt,gesund,pharmakonz,aid,zulass,novartis,patient,behandl,konzern,firma,chemisch,krankenhaus,chemiekonz,zud,pfiz,bereich,altana,sanofi,biotechnologi,leverkus,erkrank,teilt,entwickelt,mensch,erhalt,dah,pharmakonzern,test,praparat,generika,spart,klinik,bislang,bekannt,who,schwer,gehort,durft,firm,wack,arzneimittel,operation,wirkstoff,bring,apothek,behandelt,pharmaunternehm,fuhrend,industri,inzwisch,herz,gen,erkrankt,setzt,infiziert,genannt,krank,blut,substanz,gebracht,erfind,scienc,neb,pill,munch,organ,menschlich,weiterhin,erfolgreich,glaxo,hiv,celanes,rhon,amerikan,therapi,erfolg,nachd
 ,0.014,0.012,0.011,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic93,wer,kanzl,wohl,darf,lasst,mag,recht,burg,wirklich,bleibt,gar,ja,namlich,eigent,endlich,kaum,eben,gerad,lang,tatsach,freilich,gewiss,gest,vielleicht,sach,argument,richtig,jedenfall,daran,tun,niemand,deshalb,warum,scheint,natur,sinn,rhein,durchaus,jk,genug,ohnehin,tat,zumind,vernunft,wenigst,gegenteil,tut,uberhaupt,braucht,wund,debatt,statt,verstand,wahrheit,allzu,eindruck,wort,keinesweg,schliesslich,wed,zumal,eher,all,ausgerechnet,ebenso,letztlich,bloss,kommt,mog,zeitung,offenbar,einsicht,mut,geradezu,vielmehr,fehlt,her,einfach,falsch,wiss,not,insof,schlicht,ulm,solang,allein,vermeint,begriff,gleich,versuch,klingt,zweifel,bundeskanzl,hand,leid,gerhard_schröder,ubrig,helmut_kohl,versprech,realitat
 ,0.013,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic94,tv,send,fernseh,verlag,munch,kirch,medi,grupp,film,ard,premi,spring,sieb,programm,pro,zdf,journalist,rtl,em,rundfunk,buch,sat,fernsehs,million,media,sendung,verleg,offent,zeitschrift,digital,auflag,rechtlich,munchn,radio,pay,geschaftsfuhr,medienunternehm,kanal,koln,hamburg,chefredakteur,zuschau,privat,beteiligt,medienkonz,werbung,club,beteil,exemplar,bild,news,gehor,gesellschaft,thiel,zeitung,verkauft,kabel,ubertrag,gehort,recht,les,murdoch,leo_kirch,gutersloh,liv,redaktion,burda,titel,redakteur,kofl,saban,satellit,press,hollywood,verlagsgrupp,neb,intendant,tageszeit,vermarkt,einstieg,seri,magazin,welt,prosiebensat,gemeinsam,medienkonzern,ufa,haffa,berichterstatt,empfang,gest,anstalt,formel,waz,zud,entertainment,seh,inhalt,holtzbrinck,angebot
 ,0.035,0.019,0.017,0.016,0.013,0.012,0.012,0.01,0.01,0.01,0.01,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic95,umsatz,millionen_euro,gewinn,ergebnis,vorjahr,konz,stieg,milliarden_euro,verlust,euro,plus,ersten_halbjahr,vergangenen_jahr,erhoht,geschaftsjahr,gestieg,erzielt,minus,steu,ersten_quartal,gesamtjahr,legt,geschaft,rechnet,neun,divid,teilt,trotz,wachstum,sank,steig,knapp,spart,gesteigert,ertrag,vorstandschef,prognos,leicht,steigert,quartal,positiv,million,kraftig,erreicht,erwart,schwach,verbucht,abschreib,verbessert,dritten_quartal,bereich,verzeichnet,erlos,ruckgang,betriebsergebnis,uberschuss,operativ,zweistell,zweiten_quartal,klettert,dank,ebit,sech,vorjahreszeitraum,erwirtschaftet,laufenden_jahr,wuch,gegenub,bilanz,erreich,konzernumsatz,ging,halbjahr,konzern,erstmal,jahresuberschuss,gesunk,zuwach,verdient,fiel,nettogewinn,steiger,auftragseingang,laufende_jahr,belastet,betrug,verringert,je,verkauf,bereinigt,vorstandsvorsitz,gerechnet,konzernchef,vierten_quartal,verdoppelt,ziel,rucklauf,vorstand,roten_zahlen,profitiert
 ,0.037,0.028,0.023,0.02,0.016,0.016,0.015,0.014,0.014,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic96,prot,polizei,mensch,demonstration,demonstrant,stadt,samstag,aktion,tausend,strass,hauptstadt,demonstriert,anhang,unruh,polizist,hundert,kundgeb,protestiert,friedlich,kam,teilnehm,verletzt,gekomm,abend,aufgeruf,zahlreich,opposition,auseinandersetz,schwer,georgi,festgenomm,gewalt,ausschreit,zehntaus,demonstri,nacht,protesti,nahm,veranstalt,versammelt,zusammenstoss,wollt,besetzt,aserbaidschan,beamt,versucht,gegn,ging,morg,blockiert,stein,zwischenfall,gewalttat,grupp,blockad,wochen,gewaltsam,warf,erneut,aufruf,massiv,bulgar,verbot,innenstadt,sicherheitskraft,georgisch,berichtet,verhind,student,zog,zuvor,minsk,marsch,begonn,dutzend,setzt,stund,widerstand,protestaktion,besetz,rief,autonom,person,armeni,nachmittag,gebaud,krawall,mindest,nachd,tamil,begleitet,beweg,blieb,transparent,beteiligt,ort,ltte,mai,landesweit,tiflis
 ,0.026,0.022,0.018,0.016,0.016,0.013,0.012,0.012,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic97,kass,arzt,versicher,versichert,versich,krankenkass,allianz,patient,gesundheitsreform,medizin,krankenhaus,beitrag,lebensversicher,privat,krankenversicher,gesundheitswes,schad,vertrag,leistung,kost,klinik,koln,krank,gesetz,prami,gesund,münchener_rück,seehof,kassenarzt,apothek,leb,behandl,aok,versorg,verband,gerling,polic,verein,axa,ruck,gesundheitspolit,gesellschaft,kund,zuzahl,zahnarzt,re,medikament,mitglied,ausgab,allgemein,beitragseinnahm,einzeln,ruckversich,ministerin,lebensversich,beitragssatz,arztlich,versicherungswirtschaft,erhalt,kbv,ergo,aach,zahnersatz,ambulant,bezahl,gesetzlichen_krankenkassen,plan,budget,folg,neugeschaft,bundesverband,arznei,versicherungsgrupp,kapitalanlag,wettbewerb,bundesverein,geld,finanziell,ruckversicher,teur,lif,zud,sollt,vorsitz,bess,arzneimittel,abgeschloss,allein,risik,amb,ersatzkass,bkk,assekuranz,kfz,unfall,erhoh,gesetzlichen_krankenversicherung,honorar,gesundheitsministerin_ulla_schmidt,gesundheitsministerin
 ,0.022,0.022,0.018,0.016,0.014,0.014,0.011,0.011,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic98,ausland,polizei,innenminist,recht,fluchtling,npd,schily,jugend,rechtsextrem,verbot,rechtsextremist,litau,beamt,asylbewerb,gewalt,asyl,zuwander,verfassungsschutz,rechtsradikal,gefahr,tat,straftat,gewalttat,innenministerium,abschieb,bka,bundesrepubl,person,kanth,mensch,burg,integration,grupp,organisation,szen,uberfall,inn,auslanderfeind,bundesinnenminister_otto_schily,asylrecht,sprach,zuwanderungsgesetz,rechtsextremismus,lebend,lettland,neonazis,bundesinnenministerium,staatsburgerschaft,fremdenfeind,heimat,estland,einwand,verein,abgeschob,verfolg,einwander,bekampf,bundeskriminalamt,aktion,polizist,skinhead,mitglied,kriminalitat,pass,verfolgt,zuwand,vorsitz,rechtsstaat,hintergrund,minist,brandanschlag,rostock,jung,durf,dvu,ausweis,rassist,rassismus,staatsangehor,leut,bundesgrenzschutz,neonazi,innenpolit,ubergriff,beckstein,einsatz,bevolker,erkenntnis,kriminell,ruckfuhr,scientology,hart,gesellschaft,bundesinnenminist,soling,organisiert,hinweis,nehm,parol,aufnahm
 ,0.034,0.016,0.015,0.012,0.011,0.01,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic99,ubernahm,verkauf,aktionar,fusion,anteil,konz,akti,beteil,angebot,allianz,euro,konzern,zusammenschluss,hauptversamml,ubernehm,partn,investor,mrd,milliarden_euro,tocht,verkauft,konkurrent,grossaktionar,bors,borsengang,vorstandschef,erwerb,einstieg,vorstand,management,kapitalerhoh,finanzinvestor,interess,strateg,grupp,mehrheit,aufsichtsrat,holding,geschaft,offert,zukauf,kaufpreis,transaktion,anteilseign,gest,beteiligt,interessent,kapital,ubernahmeangebot,wert,interessiert,trenn,deal,gebot,ubernomm,plan,gesellschaft,zustimm,akquisition,group,ag,kauf,kur,spekulation,spart,besitz,paket,option,knapp,je,zuletzt,biet,zweitgrosst,ubernimmt,aktienpaket,millionen_euro,erworb,gerucht,kauft,eigentum,hiess,angekundigt,numm,strategi,erhalt,kleinaktionar,preis,konsortium,feindlich,schwedisch,verschmelz,abgeb,konzernchef,prozent_der_anteile,zug,zusamm,fuhrung,besitzt,synergi,beteiligungsgesellschaft
 ,0.037,0.029,0.026,0.023,0.022,0.02,0.018,0.017,0.012,0.011,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
